area,code,year,total,0-14,15-64,65+
Timor-Leste,626,2080,3436,809,2236,390
Timor-Leste,626,2085,3563,793,2313,457
Timor-Leste,626,2090,3674,777,2369,527
Timor-Leste,626,2095,3769,760,2406,602
Timor-Leste,626,2100,3848,743,2427,678
Viet Nam,704,2015,93572,21609,65651,6311
Viet Nam,704,2020,98360,22557,67881,7922
Viet Nam,704,2025,102764,22780,69608,10376
Viet Nam,704,2030,106284,21924,71194,13166
Viet Nam,704,2035,108988,20704,72295,15990
Viet Nam,704,2040,111229,19584,72750,18895
Viet Nam,704,2045,113145,19221,72210,21714
Viet Nam,704,2050,114630,19392,70581,24657
Viet Nam,704,2055,115518,19495,68357,27665
Viet Nam,704,2060,115728,19184,66277,30267
Viet Nam,704,2065,115323,18542,65974,30807
Viet Nam,704,2070,114496,17888,65890,30718
Viet Nam,704,2075,113448,17495,65018,30935
Viet Nam,704,2080,112291,17375,63451,31465
Viet Nam,704,2085,111079,17318,61855,31907
Viet Nam,704,2090,109876,17110,60405,32360
Viet Nam,704,2095,108723,16726,59529,32467
Viet Nam,704,2100,107646,16290,59022,32333
Western Asia,922,2015,258124,77155,167471,13499
Western Asia,922,2020,281382,80438,184505,16439
Western Asia,922,2025,303128,82818,200078,20232
Western Asia,922,2030,323521,83641,214726,25154
Western Asia,922,2035,343283,84134,228229,30920
Western Asia,922,2040,362200,84952,239531,37716
Western Asia,922,2045,380065,86056,248819,45190
Western Asia,922,2050,396560,86951,256883,52726
Western Asia,922,2055,411411,87316,263887,60208
Western Asia,922,2060,424497,87121,270171,67205
Western Asia,922,2065,435942,86666,275667,73609
Western Asia,922,2070,445908,86208,280307,79394
Western Asia,922,2075,454578,85878,283233,85467
Western Asia,922,2080,462037,85511,284504,92022
Western Asia,922,2085,468306,84985,285322,98000
Western Asia,922,2090,473364,84185,286037,103142
Western Asia,922,2095,477247,83164,286525,107557
Western Asia,922,2100,480040,82038,286421,111581
Armenia,51,2015,2917,579,2020,318
Armenia,51,2020,2939,589,1995,355
Armenia,51,2025,2934,551,1946,438
Armenia,51,2030,2907,488,1915,505
Armenia,51,2035,2866,438,1903,526
Armenia,51,2040,2818,412,1871,535
Armenia,51,2045,2765,405,1799,561
Armenia,51,2050,2700,399,1681,620
Armenia,51,2055,2624,382,1544,698
Armenia,51,2060,2540,355,1444,740
Armenia,51,2065,2450,330,1395,725
Armenia,51,2070,2358,313,1346,698
Armenia,51,2075,2265,306,1266,692
Armenia,51,2080,2172,301,1177,694
Armenia,51,2085,2081,292,1106,683
Armenia,51,2090,1997,279,1058,661
Armenia,51,2095,1920,264,1024,632
Armenia,51,2100,1849,253,993,603
Azerbaijan,31,2015,9617,2203,6862,552
Azerbaijan,31,2020,10100,2361,7052,687
Azerbaijan,31,2025,10442,2359,7145,939
Azerbaijan,31,2030,10680,2137,7290,1253
Azerbaijan,31,2035,10861,1981,7413,1466
Azerbaijan,31,2040,10989,1936,7455,1598
Azerbaijan,31,2045,11049,1939,7401,1710
Azerbaijan,31,2050,11039,1913,7215,1911
Azerbaijan,31,2055,10969,1846,6952,2171
Azerbaijan,31,2060,10857,1764,6736,2357
Azerbaijan,31,2065,10718,1699,6647,2371
Azerbaijan,31,2070,10556,1660,6597,2299
Azerbaijan,31,2075,10381,1635,6470,2276
Azerbaijan,31,2080,10202,1606,6191,2404
Azerbaijan,31,2085,10030,1566,5969,2495
Azerbaijan,31,2090,9870,1520,5827,2523
Azerbaijan,31,2095,9716,1477,5723,2517
Azerbaijan,31,2100,9559,1444,5600,2515
Bahrain,48,2015,1372,286,1054,32
Bahrain,48,2020,1698,310,1343,45
Bahrain,48,2025,1862,327,1458,77
Bahrain,48,2030,2013,336,1563,114
Bahrain,48,2035,2122,342,1621,159
Bahrain,48,2040,2205,339,1656,211
Bahrain,48,2045,2272,328,1687,258
Bahrain,48,2050,2327,313,1710,304
Bahrain,48,2055,2371,305,1729,337
Bahrain,48,2060,2405,303,1715,387
Bahrain,48,2065,2428,303,1656,469
Bahrain,48,2070,2440,301,1587,552
Bahrain,48,2075,2440,296,1524,619
Bahrain,48,2080,2425,289,1456,680
Bahrain,48,2085,2396,284,1394,718
Bahrain,48,2090,2354,281,1349,725
Bahrain,48,2095,2303,279,1310,713
Bahrain,48,2100,2246,277,1270,699
Cyprus,196,2015,1161,196,816,149
Cyprus,196,2020,1207,200,833,174
Cyprus,196,2025,1247,197,848,203
Cyprus,196,2030,1282,189,860,233
Cyprus,196,2035,1314,184,867,262
Cyprus,196,2040,1341,184,866,291
Cyprus,196,2045,1365,185,856,324
Cyprus,196,2050,1383,186,841,356
Cyprus,196,2055,1394,185,823,386
Cyprus,196,2060,1399,182,806,411
Cyprus,196,2065,1399,181,788,430
Cyprus,196,2070,1395,181,772,442
Cyprus,196,2075,1387,182,757,449
Cyprus,196,2080,1376,182,743,451
Cyprus,196,2085,1363,182,732,450
Cyprus,196,2090,1350,180,724,446
Cyprus,196,2095,1336,179,717,441
Cyprus,196,2100,1323,178,708,437
Georgia,268,2015,3952,739,2635,578
Georgia,268,2020,3899,771,2529,598
Georgia,268,2025,3829,742,2438,649
Georgia,268,2030,3748,673,2370,706
Georgia,268,2035,3663,622,2314,726
Georgia,268,2040,3577,600,2233,744
Georgia,268,2045,3489,596,2134,759
Georgia,268,2050,3394,588,2037,769
Georgia,268,2055,3293,563,1941,789
Georgia,268,2060,3191,528,1864,799
Georgia,268,2065,3091,496,1826,770
Georgia,268,2070,2998,475,1797,726
Georgia,268,2075,2911,464,1728,719
Georgia,268,2080,2829,453,1634,743
Georgia,268,2085,2752,436,1562,754
Georgia,268,2090,2680,415,1512,752
Georgia,268,2095,2610,395,1474,741
Georgia,268,2100,2540,379,1434,728
Iraq,368,2015,36116,14685,20321,1110
Iraq,368,2020,41503,16557,23553,1393
Iraq,368,2025,47200,18253,27358,1589
Iraq,368,2030,53298,19800,31590,1907
Iraq,368,2035,59821,21412,35894,2514
Iraq,368,2040,66752,23097,40390,3265
Iraq,368,2045,74007,24785,45103,4119
Iraq,368,2050,81490,26385,50088,5018
Iraq,368,2055,89131,27846,55276,6008
Iraq,368,2060,96863,29148,60612,7102
Iraq,368,2065,104690,30356,65969,8366
Iraq,368,2070,112533,31446,71374,9713
Iraq,368,2075,120327,32422,76575,11329
Iraq,368,2080,127977,33199,81514,13264
Iraq,368,2085,135397,33786,86275,15335
Iraq,368,2090,142514,34172,90823,17519
Iraq,368,2095,149251,34375,95043,19833
Iraq,368,2100,155556,34421,98849,22286
Israel,376,2015,8065,2247,4913,905
Israel,376,2020,8714,2399,5229,1085
Israel,376,2025,9349,2481,5636,1232
Israel,376,2030,9984,2493,6111,1379
Israel,376,2035,10628,2551,6543,1535
Israel,376,2040,11282,2647,6901,1733
Israel,376,2045,11937,2758,7233,1947
Israel,376,2050,12577,2842,7584,2151
Israel,376,2055,13187,2879,7962,2346
Israel,376,2060,13759,2875,8354,2530
Israel,376,2065,14295,2859,8694,2741
Israel,376,2070,14803,2855,8977,2971
Israel,376,2075,15286,2865,9177,3244
Israel,376,2080,15742,2876,9288,3578
Israel,376,2085,16162,2869,9411,3882
Israel,376,2090,16535,2840,9536,4159
Israel,376,2095,16857,2799,9640,4419
Israel,376,2100,17124,2758,9696,4671
Jordan,400,2015,9159,3300,5515,345
Jordan,400,2020,10209,3515,6292,402
Jordan,400,2025,10610,3423,6719,469
Jordan,400,2030,11122,3317,7204,601
Jordan,400,2035,11841,3299,7743,799
Jordan,400,2040,12680,3345,8295,1040
Jordan,400,2045,13471,3384,8802,1285
Jordan,400,2050,14188,3387,9244,1558
Jordan,400,2055,14816,3339,9664,1813
Jordan,400,2060,15363,3264,10038,2062
Jordan,400,2065,15839,3186,10332,2321
Jordan,400,2070,16254,3123,10538,2593
Jordan,400,2075,16606,3068,10631,2907
Jordan,400,2080,16890,3008,10623,3258
Jordan,400,2085,17103,2935,10590,3577
Jordan,400,2090,17243,2855,10529,3859
Jordan,400,2095,17314,2777,10433,4104
Jordan,400,2100,17319,2711,10289,4319
Kuwait,414,2015,3936,822,3033,81
Kuwait,414,2020,4303,917,3257,129
Kuwait,414,2025,4603,943,3441,219
Kuwait,414,2030,4874,929,3620,324
Kuwait,414,2035,5111,906,3713,493
Kuwait,414,2040,5324,914,3742,668
Kuwait,414,2045,5504,940,3768,796
Kuwait,414,2050,5644,964,3795,885
Kuwait,414,2055,5748,974,3853,921
Kuwait,414,2060,5828,969,3910,949
Kuwait,414,2065,5897,959,3920,1018
Kuwait,414,2070,5967,956,3942,1069
Kuwait,414,2075,6037,963,3939,1136
Kuwait,414,2080,6103,971,3912,1220
Kuwait,414,2085,6155,974,3874,1307
Kuwait,414,2090,6193,969,3856,1368
Kuwait,414,2095,6217,960,3844,1413
Kuwait,414,2100,6231,952,3823,1456
Lebanon,422,2015,5851,1404,3971,476
Lebanon,422,2020,6020,1303,4161,555
Lebanon,422,2025,5606,1115,3860,631
Lebanon,422,2030,5369,1013,3611,745
Lebanon,422,2035,5336,964,3512,860
Lebanon,422,2040,5392,891,3541,961
Lebanon,422,2045,5412,800,3526,1086
Lebanon,422,2050,5412,746,3404,1262
Lebanon,422,2055,5399,738,3206,1455
Lebanon,422,2060,5368,750,2981,1637
Lebanon,422,2065,5304,745,2804,1754
Lebanon,422,2070,5200,713,2699,1788
Lebanon,422,2075,5062,667,2671,1723
Lebanon,422,2080,4904,631,2620,1653
Lebanon,422,2085,4743,616,2547,1581
Lebanon,422,2090,4594,613,2429,1552
Lebanon,422,2095,4463,608,2310,1545
Lebanon,422,2100,4350,592,2226,1532
Oman,512,2015,4200,931,3171,97
Oman,512,2020,5150,1094,3927,129
Oman,512,2025,5572,1161,4228,183
Oman,512,2030,5897,1116,4519,262
Oman,512,2035,6129,1038,4725,365
Oman,512,2040,6344,983,4848,513
Oman,512,2045,6550,977,4871,702
Oman,512,2050,6757,997,4829,930
Oman,512,2055,6923,1007,4701,1215
Oman,512,2060,7037,987,4563,1486
Oman,512,2065,7096,948,4461,1687
Oman,512,2070,7107,912,4373,1823
Oman,512,2075,7080,895,4227,1958
Oman,512,2080,7019,895,4028,2095
Oman,512,2085,6930,897,3841,2193
Oman,512,2090,6820,887,3717,2216
Oman,512,2095,6698,865,3648,2185
Oman,512,2100,6572,842,3595,2136
Qatar,634,2015,2482,343,2111,27
Qatar,634,2020,2792,390,2353,49
Qatar,634,2025,3029,417,2526,86
Qatar,634,2030,3232,427,2656,149
Qatar,634,2035,3402,427,2731,244
Qatar,634,2040,3537,421,2782,334
Qatar,634,2045,3661,420,2834,407
Qatar,634,2050,3773,428,2868,477
Qatar,634,2055,3869,440,2851,578
Qatar,634,2060,3947,449,2793,705
Qatar,634,2065,4006,452,2742,812
Qatar,634,2070,4048,453,2685,910
Qatar,634,2075,4072,454,2634,985
Qatar,634,2080,4078,457,2586,1035
Qatar,634,2085,4066,462,2538,1067
Qatar,634,2090,4040,466,2488,1087
Qatar,634,2095,4007,467,2438,1103
Qatar,634,2100,3971,466,2393,1113
Saudi Arabia,682,2015,31557,8204,22389,964
Saudi Arabia,682,2020,34710,8429,24977,1303
Saudi Arabia,682,2025,37290,8778,26706,1806
Saudi Arabia,682,2030,39480,8656,28217,2607
Saudi Arabia,682,2035,41317,8167,29513,3637
Saudi Arabia,682,2040,42778,7726,30052,4999
Saudi Arabia,682,2045,44027,7547,30047,6433
Saudi Arabia,682,2050,45056,7567,29973,7516
Saudi Arabia,682,2055,45791,7606,29615,8570
Saudi Arabia,682,2060,46185,7504,29189,9492
Saudi Arabia,682,2065,46272,7242,29102,9928
Saudi Arabia,682,2070,46160,6942,29010,10209
Saudi Arabia,682,2075,45951,6730,28592,10629
Saudi Arabia,682,2080,45699,6638,27913,11148
Saudi Arabia,682,2085,45406,6601,27002,11803
Saudi Arabia,682,2090,45044,6533,26205,12306
Saudi Arabia,682,2095,44589,6397,25619,12573
Saudi Arabia,682,2100,44029,6220,25165,12643
State of Palestine,275,2015,4663,1871,2653,139
State of Palestine,275,2020,5323,2069,3086,167
State of Palestine,275,2025,6022,2251,3566,205
State of Palestine,275,2030,6739,2391,4080,268
State of Palestine,275,2035,7468,2494,4626,348
State of Palestine,275,2040,8208,2584,5185,440
State of Palestine,275,2045,8957,2675,5729,553
State of Palestine,275,2050,9704,2763,6256,685
State of Palestine,275,2055,10437,2834,6746,856
State of Palestine,275,2060,11141,2878,7179,1083
State of Palestine,275,2065,11810,2897,7598,1315
State of Palestine,275,2070,12438,2898,8010,1529
State of Palestine,275,2075,13019,2892,8367,1760
State of Palestine,275,2080,13550,2878,8653,2018
State of Palestine,275,2085,14027,2855,8875,2296
State of Palestine,275,2090,14448,2822,9051,2576
State of Palestine,275,2095,14811,2777,9187,2847
State of Palestine,275,2100,15115,2728,9284,3103
Syrian Arab Republic,760,2015,18735,7136,10842,757
Syrian Arab Republic,760,2020,18924,6473,11525,927
Syrian Arab Republic,760,2025,23411,7085,15062,1263
Syrian Arab Republic,760,2030,26608,7488,17440,1680
Syrian Arab Republic,760,2035,28885,7612,19178,2096
Syrian Arab Republic,760,2040,30799,7689,20540,2570
Syrian Arab Republic,760,2045,32525,7649,21677,3199
Syrian Arab Republic,760,2050,34021,7456,22619,3946
Syrian Arab Republic,760,2055,35302,7171,23499,4632
Syrian Arab Republic,760,2060,36393,6916,24235,5242
Syrian Arab Republic,760,2065,37303,6734,24468,6101
Syrian Arab Republic,760,2070,38018,6597,24344,7078
Syrian Arab Republic,760,2075,38528,6451,24016,8061
Syrian Arab Republic,760,2080,38828,6271,23652,8905
Syrian Arab Republic,760,2085,38918,6067,23357,9494
Syrian Arab Republic,760,2090,38815,5873,22989,9953
Syrian Arab Republic,760,2095,38545,5713,22516,10315
Syrian Arab Republic,760,2100,38167,5586,21935,10646
Turkey,792,2015,78271,20025,52140,6107
Turkey,792,2020,83836,19962,56477,7397
Turkey,792,2025,86125,19079,58123,8923
Turkey,792,2030,88417,18300,59433,10683
Turkey,792,2035,90915,17665,60583,12667
Turkey,792,2040,92981,17066,60977,14938
Turkey,792,2045,94561,16566,60669,17327
Turkey,792,2050,95627,16066,59907,19654
Turkey,792,2055,96182,15546,59025,21611
Turkey,792,2060,96221,14995,58031,23195
Turkey,792,2065,95793,14468,56627,24698
Turkey,792,2070,94970,14000,55112,25858
Turkey,792,2075,93848,13605,53520,26723
Turkey,792,2080,92501,13239,51812,27450
Turkey,792,2085,90988,12881,50172,27934
Turkey,792,2090,89330,12509,48674,28146
Turkey,792,2095,87576,12149,47295,28132
Turkey,792,2100,85776,11819,45959,27998
United Arab Emirates,784,2015,9154,1262,7799,94
United Arab Emirates,784,2020,9813,1360,8317,136
United Arab Emirates,784,2025,10435,1354,8825,257
United Arab Emirates,784,2030,11055,1336,9228,490
United Arab Emirates,784,2035,11642,1391,9474,778
United Arab Emirates,784,2040,12207,1478,9563,1167
United Arab Emirates,784,2045,12722,1547,9655,1520
United Arab Emirates,784,2050,13164,1583,9775,1805
United Arab Emirates,784,2055,13536,1604,9847,2086
United Arab Emirates,784,2060,13851,1634,9883,2334
United Arab Emirates,784,2065,14118,1680,9798,2640
United Arab Emirates,784,2070,14342,1730,9664,2948
United Arab Emirates,784,2075,14524,1771,9474,3279
United Arab Emirates,784,2080,14659,1799,9307,3552
United Arab Emirates,784,2085,14746,1820,9242,3684
United Arab Emirates,784,2090,14788,1840,9186,3762
United Arab Emirates,784,2095,14795,1863,9101,3831
United Arab Emirates,784,2100,14776,1884,8989,3903
Yemen,887,2015,26916,10920,15227,769
Yemen,887,2020,30245,11739,17599,907
Yemen,887,2025,33561,12303,20192,1065
Yemen,887,2030,36815,12551,23016,1248
Yemen,887,2035,39962,12641,25876,1446
Yemen,887,2040,42986,12641,28636,1709
Yemen,887,2045,45791,12558,31030,2203
Yemen,887,2050,48304,12368,33057,2880
Yemen,887,2055,50438,12048,34654,3736
Yemen,887,2060,52150,11620,35838,4693
Yemen,887,2065,53434,11133,36839,5462
Yemen,887,2070,54320,10652,37480,6188
Yemen,887,2075,54854,10212,37664,6978
Yemen,887,2080,55086,9817,37396,7873
Yemen,887,2085,55043,9461,36835,8747
Yemen,887,2090,54751,9131,36085,9535
Yemen,887,2095,54238,8820,35204,10215
Yemen,887,2100,53536,8529,34214,10793
EUROPE,908,2015,740814,116776,493659,130378
EUROPE,908,2020,743390,118803,481454,143133
EUROPE,908,2025,742544,116639,468998,156907
EUROPE,908,2030,739456,112035,456736,170684
EUROPE,908,2035,734559,107807,446118,180635
EUROPE,908,2040,728823,105692,434600,188532
EUROPE,908,2045,722641,106078,422193,194370
EUROPE,908,2050,715721,107291,409135,199295
EUROPE,908,2055,707628,107274,397049,203305
EUROPE,908,2060,698571,105578,391225,201768
EUROPE,908,2065,689365,103238,389898,196230
EUROPE,908,2070,680976,101516,387843,191616
EUROPE,908,2075,673934,100893,382465,190576
EUROPE,908,2080,668336,100894,375784,191658
EUROPE,908,2085,663945,100641,369916,193388
EUROPE,908,2090,660329,99623,365554,195152
EUROPE,908,2095,656923,98036,362694,196193
EUROPE,908,2100,653261,96473,360127,196662
Eastern Europe,923,2015,293244,46729,203069,43445
Eastern Europe,923,2020,290776,48951,192835,48990
Eastern Europe,923,2025,286799,47976,184666,54156
Eastern Europe,923,2030,281413,44328,179682,57402
Eastern Europe,923,2035,275214,40964,176591,57658
Eastern Europe,923,2040,269143,39332,170671,59140
Eastern Europe,923,2045,263659,39742,162421,61496
Eastern Europe,923,2050,258519,40829,153117,64573
Eastern Europe,923,2055,253298,40911,144392,67995
Eastern Europe,923,2060,247755,39599,141014,67142
Eastern Europe,923,2065,241974,37761,141286,62927
Eastern Europe,923,2070,236430,36486,140825,59119
Eastern Europe,923,2075,231625,36176,137957,57492
Eastern Europe,923,2080,227823,36409,133557,57857
Eastern Europe,923,2085,224946,36442,129940,58564
Eastern Europe,923,2090,222613,35852,127686,59076
Eastern Europe,923,2095,220397,34832,126728,58837
Eastern Europe,923,2100,218045,33883,126071,58090
Belarus,112,2015,9486,1531,6595,1360
Belarus,112,2020,9415,1641,6303,1471
Belarus,112,2025,9311,1640,6009,1662
Belarus,112,2030,9163,1525,5825,1812
Belarus,112,2035,8995,1409,5723,1864
Belarus,112,2040,8837,1351,5581,1905
Belarus,112,2045,8699,1371,5380,1949
Belarus,112,2050,8571,1419,5107,2045
Belarus,112,2055,8438,1432,4847,2159
Belarus,112,2060,8297,1391,4749,2157
Belarus,112,2065,8153,1326,4783,2044
Belarus,112,2070,8020,1281,4809,1930
Belarus,112,2075,7908,1273,4746,1889
Belarus,112,2080,7820,1286,4611,1924
Belarus,112,2085,7755,1291,4494,1969
Belarus,112,2090,7703,1272,4425,2006
Belarus,112,2095,7656,1236,4404,2017
Belarus,112,2100,7605,1203,4394,2008
Bulgaria,100,2015,7177,1005,4731,1441
Bulgaria,100,2020,6941,1010,4436,1494
Bulgaria,100,2025,6694,957,4221,1516
Bulgaria,100,2030,6431,899,4020,1512
Bulgaria,100,2035,6157,838,3820,1499
Bulgaria,100,2040,5894,798,3573,1524
Bulgaria,100,2045,5652,784,3309,1560
Bulgaria,100,2050,5424,779,3089,1556
Bulgaria,100,2055,5202,763,2875,1564
Bulgaria,100,2060,4981,730,2752,1500
Bulgaria,100,2065,4766,693,2708,1365
Bulgaria,100,2070,4567,663,2646,1258
Bulgaria,100,2075,4396,645,2537,1214
Bulgaria,100,2080,4254,635,2437,1183
Bulgaria,100,2085,4138,624,2344,1170
Bulgaria,100,2090,4039,606,2269,1164
Bulgaria,100,2095,3945,583,2214,1147
Bulgaria,100,2100,3850,563,2167,1120
Czechia,203,2015,10604,1604,7091,1908
Czechia,203,2020,10633,1664,6817,2152
Czechia,203,2025,10613,1601,6727,2285
Czechia,203,2030,10528,1518,6636,2374
Czechia,203,2035,10397,1434,6510,2453
Czechia,203,2040,10265,1401,6204,2659
Czechia,203,2045,10155,1428,5816,2911
Czechia,203,2050,10054,1473,5571,3010
Czechia,203,2055,9935,1483,5385,3067
Czechia,203,2060,9777,1449,5292,3036
Czechia,203,2065,9585,1401,5337,2848
Czechia,203,2070,9390,1366,5335,2689
Czechia,203,2075,9229,1361,5225,2642
Czechia,203,2080,9115,1375,5115,2625
Czechia,203,2085,9042,1385,5017,2641
Czechia,203,2090,8990,1373,4956,2661
Czechia,203,2095,8944,1343,4935,2666
Czechia,203,2100,8892,1312,4924,2656
Hungary,348,2015,9784,1413,6659,1712
Hungary,348,2020,9621,1367,6316,1939
Hungary,348,2025,9439,1309,6083,2048
Hungary,348,2030,9235,1274,5933,2028
Hungary,348,2035,9004,1231,5715,2058
Hungary,348,2040,8758,1186,5398,2174
Hungary,348,2045,8513,1147,5049,2317
Hungary,348,2050,8279,1118,4835,2325
Hungary,348,2055,8052,1095,4638,2319
Hungary,348,2060,7824,1072,4414,2339
Hungary,348,2065,7593,1048,4281,2264
Hungary,348,2070,7365,1023,4162,2179
Hungary,348,2075,7156,998,4035,2122
Hungary,348,2080,6969,975,3931,2062
Hungary,348,2085,6802,955,3827,2020
Hungary,348,2090,6651,937,3724,1989
Hungary,348,2095,6514,919,3627,1968
Hungary,348,2100,6388,900,3542,1946
Poland,616,2015,38265,5695,26596,5974
Poland,616,2020,37942,5616,25287,7040
Poland,616,2025,37373,5152,24159,8063
Poland,616,2030,36616,4671,23463,8482
Poland,616,2035,35692,4299,22736,8657
Poland,616,2040,34655,4092,21574,8988
Poland,616,2045,33545,4007,19987,9551
Poland,616,2050,32390,3953,18191,10247
Poland,616,2055,31204,3828,16766,10610
Poland,616,2060,29981,3631,15683,10668
Poland,616,2065,28695,3431,14998,10266
Poland,616,2070,27360,3292,14452,9617
Poland,616,2075,26035,3217,13643,9175
Poland,616,2080,24800,3170,12888,8741
Poland,616,2085,23709,3108,12292,8309
Poland,616,2090,22774,3009,11854,7911
Poland,616,2095,21966,2895,11512,7559
Poland,616,2100,21242,2795,11208,7238
Republic of Moldova,498,2015,4066,639,3022,404
Republic of Moldova,498,2020,4018,634,2879,505
Republic of Moldova,498,2025,3943,591,2766,586
Republic of Moldova,498,2030,3844,526,2654,663
Republic of Moldova,498,2035,3721,474,2581,666
Republic of Moldova,498,2040,3584,441,2468,675
Republic of Moldova,498,2045,3441,424,2308,709
Republic of Moldova,498,2050,3293,414,2097,782
Republic of Moldova,498,2055,3141,400,1838,904
Republic of Moldova,498,2060,2983,377,1663,942
Republic of Moldova,498,2065,2818,353,1565,900
Republic of Moldova,498,2070,2651,334,1497,821
Republic of Moldova,498,2075,2491,322,1409,760
Republic of Moldova,498,2080,2346,314,1311,721
Republic of Moldova,498,2085,2224,306,1233,685
Republic of Moldova,498,2090,2121,294,1175,652
Republic of Moldova,498,2095,2033,281,1130,622
Republic of Moldova,498,2100,1953,269,1091,593
Romania,642,2015,19877,3064,13433,3379
Romania,642,2020,19388,2932,12747,3709
Romania,642,2025,18927,2763,12221,3943
Romania,642,2030,18464,2639,11953,3872
Romania,642,2035,17974,2530,11271,4172
Romania,642,2040,17463,2449,10617,4397
Romania,642,2045,16935,2386,9935,4614
Romania,642,2050,16397,2321,9496,4579
Romania,642,2055,15855,2243,8933,4678
Romania,642,2060,15307,2161,8615,4531
Romania,642,2065,14767,2088,8329,4350
Romania,642,2070,14260,2028,8049,4183
Romania,642,2075,13802,1978,7738,4086
Romania,642,2080,13390,1930,7483,3978
Romania,642,2085,13020,1878,7251,3891
Romania,642,2090,12683,1823,7044,3816
Romania,642,2095,12375,1770,6858,3747
Romania,642,2100,12082,1723,6678,3681
Russian Federation,643,2015,143888,24220,100259,19409
Russian Federation,643,2020,143787,26190,95376,22221
Russian Federation,643,2025,142607,26358,91224,25025
Russian Federation,643,2030,140543,24223,89155,27165
Russian Federation,643,2035,138076,22241,89068,26768
Russian Federation,643,2040,135837,21422,87328,27087
Russian Federation,643,2045,134127,22037,84337,27754
Russian Federation,643,2050,132731,23119,80280,29331
Russian Federation,643,2055,131310,23485,76325,31500
Russian Federation,643,2060,129696,22835,75877,30984
Russian Federation,643,2065,127958,21769,77556,28634
Russian Federation,643,2070,126393,21076,78315,27002
Russian Federation,643,2075,125263,21062,77730,26472
Russian Federation,643,2080,124675,21429,75670,27577
Russian Federation,643,2085,124520,21644,74063,28813
Russian Federation,643,2090,124513,21406,73319,29788
Russian Federation,643,2095,124382,20845,73440,30096
Russian Federation,643,2100,124013,20322,73707,29984
Slovakia,703,2015,5439,831,3843,765
Slovakia,703,2020,5451,848,3695,908
Slovakia,703,2025,5438,832,3571,1034
Slovakia,703,2030,5387,793,3471,1123
Slovakia,703,2035,5301,742,3392,1167
Slovakia,703,2040,5193,699,3256,1237
Slovakia,703,2045,5079,681,3057,1341
Slovakia,703,2050,4965,681,2863,1420
Slovakia,703,2055,4846,681,2692,1473
Slovakia,703,2060,4718,668,2569,1482
Slovakia,703,2065,4577,643,2515,1420
Slovakia,703,2070,4430,616,2479,1335
Slovakia,703,2075,4289,598,2414,1277
Slovakia,703,2080,4166,590,2337,1239
Slovakia,703,2085,4064,586,2258,1220
Slovakia,703,2090,3979,579,2190,1211
Slovakia,703,2095,3905,565,2141,1198
Slovakia,703,2100,3834,548,2108,1178
Ukraine,804,2015,44658,6725,30838,7095
Ukraine,804,2020,43579,7049,28979,7551
Ukraine,804,2025,42453,6772,27685,7995
Ukraine,804,2030,41200,6259,26570,8371
Ukraine,804,2035,39896,5765,25776,8355
Ukraine,804,2040,38658,5493,24673,8492
Ukraine,804,2045,37513,5478,23244,8791
Ukraine,804,2050,36416,5550,21588,9278
Ukraine,804,2055,35315,5503,20091,9721
Ukraine,804,2060,34190,5286,19400,9505
Ukraine,804,2065,33061,5011,19216,8835
Ukraine,804,2070,31992,4807,19081,8104
Ukraine,804,2075,31057,4723,18479,7854
Ukraine,804,2080,30288,4705,17775,7808
Ukraine,804,2085,29673,4665,17161,7847
Ukraine,804,2090,29160,4553,16730,7878
Ukraine,804,2095,28679,4394,16467,7818
Ukraine,804,2100,28186,4249,16252,7685
Northern Europe,924,2015,103097,18057,66333,18706
Northern Europe,924,2020,105863,18805,66802,20257
Northern Europe,924,2025,108409,18921,67396,22092
Northern Europe,924,2030,110635,18796,67501,24338
Northern Europe,924,2035,112553,18563,67624,26366
Northern Europe,924,2040,114313,18491,68144,27679
Northern Europe,924,2045,116000,18729,68617,28654
Northern Europe,924,2050,117583,19101,68757,29724
Northern Europe,924,2055,118928,19333,68727,30868
Northern Europe,924,2060,120027,19337,68856,31834
Northern Europe,924,2065,121009,19218,69493,32299
Northern Europe,924,2070,121987,19128,70185,32673
Northern Europe,924,2075,122948,19148,70194,33605
Northern Europe,924,2080,123827,19242,70011,34573
Northern Europe,924,2085,124600,19302,69745,35554
Northern Europe,924,2090,125301,19256,69526,36520
Northern Europe,924,2095,125956,19119,69451,37386
Northern Europe,924,2100,126514,18960,69394,38160
Channel Islands,830,2015,164,24,111,28
Channel Islands,830,2020,168,24,111,32
Channel Islands,830,2025,171,24,111,36
Channel Islands,830,2030,174,24,109,42
Channel Islands,830,2035,177,24,107,46
Channel Islands,830,2040,179,24,106,49
Channel Islands,830,2045,180,24,105,51
Channel Islands,830,2050,181,24,104,52
Channel Islands,830,2055,181,24,104,53
Channel Islands,830,2060,181,25,103,53
Channel Islands,830,2065,181,25,102,54
Channel Islands,830,2070,181,25,102,54
Channel Islands,830,2075,181,25,102,54
Channel Islands,830,2080,181,25,101,55
Channel Islands,830,2085,180,25,100,55
Channel Islands,830,2090,180,25,100,56
Channel Islands,830,2095,180,24,99,57
Channel Islands,830,2100,180,24,98,57
Denmark,208,2015,5689,958,3647,1084
Denmark,208,2020,5797,943,3682,1172
Denmark,208,2025,5913,944,3705,1265
Denmark,208,2030,6025,992,3663,1370
Denmark,208,2035,6118,1027,3612,1479
